Discipline,FinalOutcome,Sum of SatisfactionRating,Year,Quarter,Month,Day,Sum of SessionLengthMin,StudentLevel,TaskType,Sum of TotalPrompts,UsedAgain,Sum of AI_AssistanceLevel
Biology,Assignment Completed,3,2024,Qtr 2,June,24,0.84,Graduate,Writing,1,TRUE,4
Biology,Assignment Completed,2,2024,Qtr 2,June,24,16.03,Undergraduate,Coding,4,TRUE,3
Biology,Assignment Completed,3.7,2024,Qtr 2,June,24,13.49,Undergraduate,Homework Help,3,FALSE,3
Biology,Assignment Completed,4.9,2024,Qtr 2,June,25,9.56,Undergraduate,Coding,4,TRUE,3
Biology,Assignment Completed,3.8,2024,Qtr 2,June,26,7.78,High School,Writing,1,TRUE,4
Biology,Assignment Completed,5,2024,Qtr 2,June,27,16.42,Graduate,Writing,4,FALSE,5
Biology,Assignment Completed,6.3,2024,Qtr 2,June,27,58.3,Undergraduate,Coding,15,TRUE,6
Biology,Assignment Completed,1,2024,Qtr 2,June,29,29.81,High School,Homework Help,7,TRUE,2
Biology,Assignment Completed,3.5,2024,Qtr 2,June,29,21.64,Undergraduate,Coding,7,FALSE,4
Biology,Assignment Completed,4,2024,Qtr 2,June,30,18.34,Undergraduate,Coding,3,FALSE,4
Biology,Assignment Completed,5,2024,Qtr 3,July,2,22.75,High School,Studying,4,FALSE,5
Biology,Assignment Completed,5,2024,Qtr 3,July,2,3.24,High School,Studying,1,TRUE,5
Biology,Assignment Completed,1.9,2024,Qtr 3,July,2,3.43,Undergraduate,Brainstorming,1,TRUE,2
Biology,Assignment Completed,1.6,2024,Qtr 3,July,2,80.01,Undergraduate,Studying,29,FALSE,3
Biology,Assignment Completed,3.1,2024,Qtr 3,July,2,38.15,Undergraduate,Writing,13,FALSE,2
Biology,Assignment Completed,3.2,2024,Qtr 3,July,3,15.26,Undergraduate,Homework Help,4,TRUE,4
Biology,Assignment Completed,2.1,2024,Qtr 3,July,4,5.63,Graduate,Homework Help,1,TRUE,3
Biology,Assignment Completed,3.6,2024,Qtr 3,July,5,23.14,Undergraduate,Studying,6,FALSE,3
Biology,Assignment Completed,2.3,2024,Qtr 3,July,6,26.12,High School,Brainstorming,8,TRUE,3
Biology,Assignment Completed,4.7,2024,Qtr 3,July,6,41.1,Undergraduate,Coding,17,TRUE,4
Biology,Assignment Completed,4.8,2024,Qtr 3,July,7,30.45,Graduate,Studying,9,TRUE,4
Biology,Assignment Completed,3.1,2024,Qtr 3,July,7,36.82,Undergraduate,Homework Help,8,TRUE,4
Biology,Assignment Completed,1.4,2024,Qtr 3,July,9,9.57,Undergraduate,Coding,2,TRUE,2
Biology,Assignment Completed,1,2024,Qtr 3,July,9,20.07,Undergraduate,Studying,7,TRUE,1
Biology,Assignment Completed,3.2,2024,Qtr 3,July,10,22.1,High School,Coding,5,TRUE,3
Biology,Assignment Completed,5,2024,Qtr 3,July,10,15.52,High School,Writing,3,TRUE,5
Biology,Assignment Completed,1.4,2024,Qtr 3,July,11,14.05,Undergraduate,Coding,6,TRUE,2
Biology,Assignment Completed,3.7,2024,Qtr 3,July,12,16.63,High School,Coding,3,TRUE,5
Biology,Assignment Completed,3.9,2024,Qtr 3,July,12,11.31,High School,Writing,3,TRUE,4
Biology,Assignment Completed,1.8,2024,Qtr 3,July,12,6.4,Undergraduate,Coding,1,TRUE,2
Biology,Assignment Completed,2.8,2024,Qtr 3,July,12,14.4,Undergraduate,Writing,6,TRUE,4
Biology,Assignment Completed,2.6,2024,Qtr 3,July,13,43.51,Graduate,Studying,13,TRUE,3
Biology,Assignment Completed,4.6,2024,Qtr 3,July,13,13.91,High School,Homework Help,3,FALSE,5
Biology,Assignment Completed,6.9,2024,Qtr 3,July,13,45.63,Undergraduate,Homework Help,11,TRUE,6
Biology,Assignment Completed,1,2024,Qtr 3,July,13,14.98,Undergraduate,Writing,3,TRUE,2
Biology,Assignment Completed,3.4,2024,Qtr 3,July,14,10.05,High School,Studying,4,FALSE,4
